logFC	P.Value	adj.P.Val	sig_adjP_lfc1	sig_pval_lfc1	sig_adjP_lfc2	sig_pval_lfc2	sig_adjP_lfc3	sig_pval_lfc3
CTSC	-1.07452885703783	0.000434372999267946	0.614590510957692	-	+	-	-	-	-
SUPT16H	-1.48589765945606	0.000468898215683831	0.614590510957692	-	+	-	-	-	-
TUBA3C	-0.63737056557246	0.000718792896511393	0.614590510957692	-	-	-	-	-	-
BTG3	1.62601374464498	0.000820831074881148	0.614590510957692	-	+	-	-	-	-
KRT18	-0.938352637395371	0.000896562003694001	0.614590510957692	-	-	-	-	-	-
PON2	-1.05484082799972	0.00097194071316451	0.614590510957692	-	+	-	-	-	-
CLCN3	-0.824375648878791	0.00149476767253991	0.673060238666608	-	-	-	-	-	-
PDLIM1	-1.27341609857628	0.00155346216518383	0.673060238666608	-	+	-	-	-	-
TOX4	-0.942686626585762	0.00170709546020736	0.673060238666608	-	-	-	-	-	-
SLIRP	0.737152095412691	0.00177401222632211	0.673060238666608	-	-	-	-	-	-
EXTL2	-0.733324265325192	0.00212712870193644	0.681451247851397	-	-	-	-	-	-
NPR1	1.53101228639105	0.00227872410348825	0.681451247851397	-	+	-	-	-	-
SCYL2	1.20991422539103	0.00254583078658031	0.681451247851397	-	+	-	-	-	-
SPRY1	-1.4595082111421	0.00258383723318599	0.681451247851397	-	+	-	-	-	-
PRIM1	-1.19078757735764	0.00270181139304493	0.681451247851397	-	+	-	-	-	-
FANCL	-1.010077857857	0.00299981158478362	0.681451247851397	-	+	-	-	-	-
HEXB	-0.804432726836149	0.00305341887545433	0.681451247851397	-	-	-	-	-	-
PEBP1	0.85107105372408	0.00355956642365512	0.716586768701807	-	-	-	-	-	-
NME2	0.663340767223032	0.0035886000541208	0.716586768701807	-	-	-	-	-	-
ARMCX2	1.27884996382291	0.00379920605909787	0.720709389410866	-	+	-	-	-	-
CXADR	1.53830277945048	0.00411375568427851	0.743218526959651	-	+	-	-	-	-
SPCS3	-0.78686121027324	0.00442210023606207	0.762611286164523	-	-	-	-	-	-
GAB2	1.23677379023389	0.00525976135579752	0.78744824966839	-	+	-	-	-	-
C21orf91	1.19767817405928	0.00561350492687811	0.78744824966839	-	+	-	-	-	-
ANXA1	-1.18494982138077	0.00561528610288704	0.78744824966839	-	+	-	-	-	-
DHCR24	1.17406059095903	0.00570396455951743	0.78744824966839	-	+	-	-	-	-
RPL29	0.576662499830373	0.00577892366346359	0.78744824966839	-	-	-	-	-	-
TBC1D9	-0.694352173380871	0.00611277988644866	0.78744824966839	-	-	-	-	-	-
HOXC6	-1.75555730291535	0.00617601013461666	0.78744824966839	-	+	-	-	-	-
HNRNPC	-0.377128659639513	0.00622652806801574	0.78744824966839	-	-	-	-	-	-
METTL17	-0.622031305284691	0.0066714685795664	0.816501670673385	-	-	-	-	-	-
GTF2I	-0.743740917148661	0.00790562177462195	0.849941971470586	-	-	-	-	-	-
GPI	0.910965402823521	0.0079551637155877	0.849941971470586	-	-	-	-	-	-
FAM117A	0.751414725562037	0.00798021998760851	0.849941971470586	-	-	-	-	-	-
MRPS22	0.590302781632502	0.00842819597889829	0.849941971470586	-	-	-	-	-	-
COX6A1	0.470900945150533	0.00874570003952299	0.849941971470586	-	-	-	-	-	-
ATP5PO	0.4993216993838	0.00886139763900577	0.849941971470586	-	-	-	-	-	-
CTSO	-0.943898900523836	0.00886322213811147	0.849941971470586	-	-	-	-	-	-
ADAMTS1	1.9721847963821	0.00927082204901196	0.849941971470586	-	+	-	-	-	-
RPA3	-0.966053920643533	0.00961322658405522	0.849941971470586	-	-	-	-	-	-
ZBTB22	0.583370185119425	0.00971731829565176	0.849941971470586	-	-	-	-	-	-
FAM162A	0.650887746837549	0.00974733599152658	0.849941971470586	-	-	-	-	-	-
THAP4	0.691647444960503	0.00984475553462162	0.849941971470586	-	-	-	-	-	-
PGM1	0.930383034911467	0.00985699703339635	0.849941971470586	-	-	-	-	-	-
NRIP1	1.65627706292921	0.0104265224220826	0.867128023356033	-	+	-	-	-	-
CIB1	-0.650359808966673	0.0105134130401628	0.867128023356033	-	-	-	-	-	-
DDHD2	1.14616382743499	0.0109133518789184	0.88096291550248	-	+	-	-	-	-
PPID	-0.750109672374958	0.0112487860570533	0.889122797926255	-	-	-	-	-	-
